"name","rank","draft_mmr","mmr_screenshot","statement","is_vouched","activity_check","dotabuff","opendota","join_timestamp","Role: Position 1","Role: Position 2","Role: Position 3","Role: Position 4","Role: Position 5","Role: In Game Drafter","Role: Team Organizer "
"7SiNs^",0,0,"https://imgur.com/a/Qj03gLp","4k MMR/ top 1k WR US.  I streamed my climb to getting windrun ranked at twitch.tv/7_sins. 

I ran captains mode inhouse games with my top10 USE guild Scubaporium for many (4) years. I handled egos/nonsense for that entire time. 

I am climbing Windrun ranks fast, with my eyes on top 500 before July 1.
Looking forward to playing! I play all roles in my rank. When I stack with immortals I don't play 1/2",false,false,"https://www.dotabuff.com/players/74497396","https://www.opendota.com/players/74497396","03/28/2026 18:07:24",4,4,5,5,4,2,4
"Aniki",0,0,"https://imgur.com/a/evzOU2D","",true,false,"https://www.dotabuff.com/players/292867484","https://www.opendota.com/players/292867484","04/02/2026 02:56:01",5,5,5,4,4,4,3
"Bonedini",0,0,"https://www.dotabuff.com/players/81782784","ask friscy or cowboy about me",false,false,"https://www.dotabuff.com/players/81782784","https://www.opendota.com/players/81782784","04/15/2026 10:28:38",5,5,5,5,5,5,5
"[ ] created",55,0,"https://imgur.com/dG7DgK6","Can we all just agree to not pick forge spirits. ",true,false,"https://www.dotabuff.com/players/129224193","https://www.opendota.com/players/129224193","04/15/2026 08:26:16",2,1,4,5,5,4,1
"cummy",0,0,"https://www.google.com/","https://windrun.io/players/393197104  . 

mainly play pos4 but am also good with 5 & 1. ",false,false,"https://www.dotabuff.com/players/393197104","https://www.opendota.com/players/393197104","04/08/2026 17:37:06",5,2,2,5,5,4,2
"Death Omen",0,0,"https://windrun.io/players/110576918","Lets goooo",false,false,"https://www.dotabuff.com/players/110576918","https://www.opendota.com/players/110576918","04/13/2026 16:53:08",5,3,4,5,5,5,4
"Elcoco",0,0,"https://imgur.com/a/K33iX2e","Stopped playing ranked after reaching immortal. 3150 rating on windrun. 

https://www.dotabuff.com/players/381775877
https://www.dotabuff.com/players/874259461",false,false,"https://www.dotabuff.com/players/381775877","https://www.opendota.com/players/381775877","04/11/2026 07:04:54",3,2,5,4,3,3,3
"Fraggle",0,0,"https://imgur.com/a/4KmwpLA","",false,false,"https://www.dotabuff.com/players/88105725","https://www.opendota.com/players/88105725","03/27/2026 23:22:41",5,3,5,5,5,4,1
"grey poupon",0,0,"https://ibb.co/Q7bNSZWJ","https://www.dotabuff.com/players/26088272
Immortal with rating around 5k something, haven't recalibrated ",false,false,"https://www.dotabuff.com/players/26088272","https://www.opendota.com/players/26088272","04/13/2026 21:37:31",3,4,4,5,5,4,2
"JIVEE",72,0,"https://imgur.com/a/fU26rfu","AD party que only gamer. Mechanics nerd that will explain the math of Dota unprompted.
https://www.windrun.io/players/105958764",true,false,"https://www.dotabuff.com/players/105958764","https://www.opendota.com/players/105958764","03/30/2026 07:01:56",4,3,3,4,4,5,2
"Konjiki no majo",0,0,"https://imgur.com/a/u4oFPBw","",false,false,"https://www.dotabuff.com/players/154734515","https://www.opendota.com/players/154734515","04/02/2026 04:21:42",5,4,5,4,4,4,3
"Meenos",0,0,"https://imgur.com/a/CrJjkJD","https://windrun.io/players/345469173
2511 rating on Windrun, but I mainly play for fun combos, not winning every AD game. I promise to play for the win in the tournament though.",false,false,"https://www.dotabuff.com/players/345469173","https://www.opendota.com/players/345469173","04/15/2026 04:27:35",3,3,3,3,3,3,3
"Rainmaker",0,0,"https://freeimage.host/i/qDa3yJf","https://www.dotabuff.com/players/143688586",true,false,"https://www.dotabuff.com/players/143688586","https://www.opendota.com/players/143688586","03/27/2026 18:22:25",3,1,3,5,5,1,1
"Regular Cheese Guy",0,0,"https://www.dotabuff.com/players/111098657","https://www.dotabuff.com/players/111098657",false,false,"https://www.dotabuff.com/players/111098657","https://www.opendota.com/players/111098657","04/07/2026 02:31:19",3,4,5,5,5,5,1
"Sanemaniac",0,0,"https://imgur.com/a/tmb41DL","I prefer to play position 4/5.   I play AD 99% of the time if I'm playing DOTA, so I know the draft and combo's well.",false,false,"https://www.dotabuff.com/players/393688663","https://www.opendota.com/players/393688663","04/13/2026 17:44:22",2,2,1,4,5,1,1
"Sockstrangler",0,0,"https://imgur.com/a/kUef88S","i generally play core in AD, but im happy to play support. no other leagues or accounts. ",false,false,"https://www.dotabuff.com/players/305363733","https://www.opendota.com/players/305363733","03/27/2026 01:22:38",4,3,4,4,4,3,1
"Sub03",0,0,"https://imgur.com/TcSCpJM","Have no experience playing in house leagues. Have 5 stacked captains mode in the past with some friends for fun. Only recently started playing ability draft, but loves playing support and drafting stuns to lock the enemy team down forever.",false,false,"https://www.dotabuff.com/players/245141321","https://www.opendota.com/players/245141321","04/05/2026 17:08:14",1,2,3,5,5,1,1
"TheFoxInTheBox",0,0,"https://windrun.io/players/327537729","I love AD",true,false,"https://www.dotabuff.com/players/327537729","https://www.opendota.com/players/327537729","04/11/2026 22:43:33",2,3,5,4,4,5,5
"x",0,0,"https://imgur.com/a/U1ecZSr","",false,false,"https://www.dotabuff.com/players/784426943","https://www.opendota.com/players/784426943","04/02/2026 03:20:37",3,2,1,5,5,5,2
"Yokozuna Hoshoryu",0,0,"https://ibb.co.com/XZ33Bp5v","around 8300 mmr in ranked, prefer to captain pos5",true,false,"https://www.dotabuff.com/players/218077154","https://www.opendota.com/players/218077154","03/28/2026 19:32:15",2,2,3,5,5,5,5
"Newbycakes",53,3965,"https://imgur.com/a/9NQdZxu","",true,false,"https://www.dotabuff.com/players/24521769","https://www.opendota.com/players/24521769","03/27/2026 21:43:52",5,2,4,3,3,3,2
"MAPPO",54,4067,"https://www.dota2.com/patches/7.41","",true,false,"https://www.dotabuff.com/players/123919855","https://www.opendota.com/players/123919855","03/31/2026 00:57:29",1,1,1,1,1,1,1
