Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: ,Internal Rating:,Raw Windrun:,MMR Estimate:,AD Last Year:,Ranked Last Year:,Rating Explanation:
Icicle,333,Poof,https://www.dotabuff.com/players/320587966,3705,3,4,5,4,4,"https://www.dotabuff.com/players/201999423other account I play on sometimes but not much recently.


I like to flex 2-5 mostly, would like to play with people that can flex roles.",3551,3679,7153,570,384,"63% windrun (3679) + 37% ranked-eqv (3331)  [570 AD/yr, 60% AD share, +1% lifetime]"
TheFoxInTheBox,250,FriscyDriscy,https://www.dotabuff.com/players/192412922,3477,1,1,1,5,5,No other leagues or accounts. I only play AD and I only support.,3497,3526,4860,615,2,"96% windrun (3526) + 4% ranked-eqv (2872)  [615 AD/yr, 100% AD share, +15% lifetime]"
Sofaking,326,Jynx,https://www.dotabuff.com/players/372541122,3464,5,1,1,1,1,"My goal in this league is to defeat the menace to society known as Vanity. Pos 1 only player, will help others draft if needed. PMA and allat included.",3529,3334,7522,381,416,"47% windrun (3334) + 53% ranked-eqv (3700)  [381 AD/yr, 48% AD share]"
redground,230,Verve,https://www.dotabuff.com/players/86828968,3384,4,4,4,4,4,"https://windrun.io/players/86828968
mmr: uncalibrated since forever but my solo ranked a year ago was ~divine 5 lobbies so make of that what you will

i play any role in AD according to what I drafted",3326,3372,4860,542,10,"91% windrun (3372) + 9% ranked-eqv (2872)  [542 AD/yr, 98% AD share, +14% lifetime]"
Dingus,185,Dirj,https://www.dotabuff.com/players/98580597,3222,2,2,1,2,1,https://tenor.com/view/fu-fuck-you-meme-dog-doggie-gif-1452059036905842133,3023,3185,4081,331,124,"65% windrun (3185) + 35% ranked-eqv (2716)  [331 AD/yr, 73% AD share, +15% lifetime]"
Yokozuna Hoshoryu,175,Regular Cheese Guy,https://www.dotabuff.com/players/111098657,3219,3,4,5,5,5,https://www.dotabuff.com/players/111098657,3349,3338,7487,423,59,"81% windrun (3338) + 19% ranked-eqv (3397)  [423 AD/yr, 88% AD share, +15% lifetime]"
Space Chicken,155,cummy,https://www.dotabuff.com/players/393197104,3186,5,2,2,5,5,"https://windrun.io/players/393197104  . 

mainly play pos4 but am also good with 5 & 1. ",3066,3086,5420,635,38,"81% windrun (3086) + 19% ranked-eqv (2984)  [635 AD/yr, 94% AD share, +1% lifetime]"
Rainmaker,250,Vanity,https://www.dotabuff.com/players/308352874,3177,5,5,3,3,1,Just playing in the AD one. should be available for most games.,3309,3159,7355,267,402,"29% windrun (3159) + 71% ranked-eqv (3371)  [267 AD/yr, 40% AD share]"
Bonedini,196,Elcoco,https://www.dotabuff.com/players/381775877,3156,3,2,5,4,3,"Stopped playing ranked after reaching immortal. 3150 rating on windrun. 

https://www.dotabuff.com/players/381775877
https://www.dotabuff.com/players/874259461",3134,3159,5420,578,23,"85% windrun (3159) + 15% ranked-eqv (2984)  [578 AD/yr, 96% AD share, +8% lifetime]"
Space Chicken,230,MGHappyhobo,https://www.dotabuff.com/players/260316741,3059,5,5,3,1,1,Full time dad now. Haven't played Dota in a month. Can't really realistically play more than one game a week. Washed but will neglect my child and my sleep for the div.,3196,3116,6944,314,51,"54% windrun (3116) + 46% ranked-eqv (3289)  [314 AD/yr, 86% AD share]"
Sofaking,120,Sockstrangler,https://www.dotabuff.com/players/305363733,3023,4,3,4,4,4,"i generally play core in AD, but im happy to play support. no other leagues or accounts. ",3015,3015,4860,1196,30,"100% windrun (3015) + 0% ranked-eqv (2872)  [1196 AD/yr, 98% AD share, +7% lifetime]"
Dingus,112,C0re,https://www.dotabuff.com/players/91095810,3009,3,2,4,4,5,"good day. 
https://windrun.io/players/91095810 
https://www.dotabuff.com/players/91095810",2960,2932,5420,235,44,"47% windrun (2932) + 53% ranked-eqv (2984)  [235 AD/yr, 84% AD share, +4% lifetime]"
TheFoxInTheBox,96,hanmingzyy,https://www.dotabuff.com/players/74883563,2995,3,3,3,3,3,I can pub together with some notice,3003,3055,4860,413,26,"72% windrun (3055) + 28% ranked-eqv (2872)  [413 AD/yr, 94% AD share, +3% lifetime]"
loves Muffins,128,JIVEE,https://www.dotabuff.com/players/105958764,2993,4,3,3,4,4,"AD party que only gamer. Mechanics nerd that will explain the math of Dota unprompted.
https://www.windrun.io/players/105958764",3021,3022,4860,686,5,"99% windrun (3022) + 1% ranked-eqv (2872)  [686 AD/yr, 99% AD share, +15% lifetime]"
loves Muffins,172,grey poupon,https://www.dotabuff.com/players/26088272,2916,3,4,4,5,5,"https://www.dotabuff.com/players/26088272
Immortal with rating around 5k something, haven't recalibrated ",3079,3026,6997,557,85,"81% windrun (3026) + 19% ranked-eqv (3299)  [557 AD/yr, 87% AD share, +8% lifetime]"
