Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
Icicle,333,Poof,https://www.dotabuff.com/players/320587966,3705,3,4,5,4,4,"https://www.dotabuff.com/players/201999423other account I play on sometimes but not much recently.


I like to flex 2-5 mostly, would like to play with people that can flex roles."
TheFoxInTheBox,250,FriscyDriscy,https://www.dotabuff.com/players/192412922,3477,1,1,1,5,5,No other leagues or accounts. I only play AD and I only support.
Sofaking,326,Jynx,https://www.dotabuff.com/players/372541122,3464,5,1,1,1,1,"My goal in this league is to defeat the menace to society known as Vanity. Pos 1 only player, will help others draft if needed. PMA and allat included."
redground,230,Verve,https://www.dotabuff.com/players/86828968,3384,4,4,4,4,4,"https://windrun.io/players/86828968
mmr: uncalibrated since forever but my solo ranked a year ago was ~divine 5 lobbies so make of that what you will

i play any role in AD according to what I drafted"
Dingus,185,Dirj,https://www.dotabuff.com/players/98580597,3222,2,2,1,2,1,https://tenor.com/view/fu-fuck-you-meme-dog-doggie-gif-1452059036905842133
Yokozuna Hoshoryu,175,Regular Cheese Guy,https://www.dotabuff.com/players/111098657,3219,3,4,5,5,5,https://www.dotabuff.com/players/111098657
Space Chicken,155,cummy,https://www.dotabuff.com/players/393197104,3186,5,2,2,5,5,"https://windrun.io/players/393197104  . 

mainly play pos4 but am also good with 5 & 1. "
Rainmaker,250,Vanity,https://www.dotabuff.com/players/308352874,3177,5,5,3,3,1,Just playing in the AD one. should be available for most games.
Bonedini,196,Elcoco,https://www.dotabuff.com/players/381775877,3156,3,2,5,4,3,"Stopped playing ranked after reaching immortal. 3150 rating on windrun. 

https://www.dotabuff.com/players/381775877
https://www.dotabuff.com/players/874259461"
Space Chicken,230,MGHappyhobo,https://www.dotabuff.com/players/260316741,3059,5,5,3,1,1,Full time dad now. Haven't played Dota in a month. Can't really realistically play more than one game a week. Washed but will neglect my child and my sleep for the div.
Sofaking,120,Sockstrangler,https://www.dotabuff.com/players/305363733,3023,4,3,4,4,4,"i generally play core in AD, but im happy to play support. no other leagues or accounts. "
Dingus,112,C0re,https://www.dotabuff.com/players/91095810,3009,3,2,4,4,5,"good day. 
https://windrun.io/players/91095810 
https://www.dotabuff.com/players/91095810"
TheFoxInTheBox,96,hanmingzyy,https://www.dotabuff.com/players/74883563,2995,3,3,3,3,3,I can pub together with some notice
loves Muffins,128,JIVEE,https://www.dotabuff.com/players/105958764,2993,4,3,3,4,4,"AD party que only gamer. Mechanics nerd that will explain the math of Dota unprompted.
https://www.windrun.io/players/105958764"
loves Muffins,172,grey poupon,https://www.dotabuff.com/players/26088272,2916,3,4,4,5,5,"https://www.dotabuff.com/players/26088272
Immortal with rating around 5k something, haven't recalibrated "
Sofaking,95,[ ] created,https://www.dotabuff.com/players/129224193,2912,2,1,4,5,5,Can we all just agree to not pick forge spirits.
loves Muffins,134,golden,https://www.dotabuff.com/players/486739727,2909,5,4,3,2,2,
Yokozuna Hoshoryu,95,BananaBread,https://www.dotabuff.com/players/488519272,2900,,,,,,Late signup due to technical issue...Real signup spot was earlier.
Icicle,136,Droads18,https://www.dotabuff.com/players/100748539,2900,1,1,1,1,1,"I WANT TO EAT FISH, THROW HOOKS AND SLAM BALLS IN FACES "
Rainmaker,196,Abra,https://www.dotabuff.com/players/193795851,2900,1,1,1,5,5,"pretty new to AD, mainly support."
redground,107,Ratman,https://www.dotabuff.com/players/171871486,2876,1,3,3,5,4,"Trackball mouse enjoyer.  APM is typically 15.  Got deep in AD land, am convinced it is Dota 3"
Yokozuna Hoshoryu,133,Death Omen,https://www.dotabuff.com/players/110576918,2818,5,3,4,5,5,Lets goooo
Bonedini,70,[RD] ruN,https://www.dotabuff.com/players/95813278,2719,1,1,3,4,5,"Chill support player, very flexible hero pool."
Icicle,23,Sanemaniac,https://www.dotabuff.com/players/393688663,2704,2,2,1,4,5,"I prefer to play position 4/5.   I play AD 99% of the time if I'm playing DOTA, so I know the draft and combo's well."
Dingus,33,Fraggle,https://www.dotabuff.com/players/88105725,2680,5,3,5,5,5,
loves Muffins,94,ExO,https://www.dotabuff.com/players/45626568,2680,3,3,3,3,3,
Sofaking,59,Toy Story 2 was OK,https://www.dotabuff.com/players/179913789,2653,4,3,5,3,4,Been playing DotA casually most my life and a lot of AD in the last year or two. Play mostly pos 3 but am flexible.
Yokozuna Hoshoryu,21,B.O.D.M.A.S,https://www.dotabuff.com/players/105723705,2650,3,1,2,4,5,Used to be an AD/Turbo only player. Time to get back to that.
Bonedini,200,Ya Filthy Animal,https://www.dotabuff.com/players/288575318,2649,2,1,2,4,5,"I'm not in any other leagues. I generally play support and utility roles, definitely not a mid.  I hardly play rank these days but would probably calibrate ancient (so I like to tell myself lmao).
I am very familiar with AD because I play a lot of games with Dj Dingus and our discord group. I use windrun.io to help draft a bit so I'm not a complete bot lmao.


Your last question isnt clear... I'm willing to stand in, but rather be on a team obv! 


https://www.dotabuff.com/players/288575318"
Rainmaker,39,toolugg,https://www.dotabuff.com/players/164740579,2623,1,3,5,5,5,"Relatively new AD player with rd2l experience. 4.5k mmr, 2.2k windrun.io mmr at time of submission. Extremely comfortable on positions 3-5, can mid if necessary, and on 1 I play in a fashion that reminds one of a freshly birthed deer that still can't really walk. Looking for chill vibes and fun times."
TheFoxInTheBox,42,Newbycakes,https://www.dotabuff.com/players/24521769,2608,5,2,4,3,3,
redground,40,Cam,https://www.dotabuff.com/players/178434754,2600,1,1,1,1,1,
Bonedini,40,GAFF,https://www.dotabuff.com/players/124017691,2595,2,1,3,4,5,I'm mostly around in the evenings to pub
Space Chicken,22,7SiNs^,https://www.dotabuff.com/players/74497396,2579,4,4,5,5,4,"4k MMR/ top 1k WR US.  I streamed my climb to getting windrun ranked at twitch.tv/7_sins. 

I ran captains mode inhouse games with my top10 USE guild Scubaporium for many (4) years. I handled egos/nonsense for that entire time. 

I am climbing Windrun ranks fast, with my eyes on top 500 before July 1.
Looking forward to playing! I play all roles in my rank. When I stack with immortals I don't play 1/2"
redground,13,MAPPO,https://www.dotabuff.com/players/123919855,2512,1,1,1,1,1,
Rainmaker,39,Meenos,https://www.dotabuff.com/players/345469173,2511,3,3,3,3,3,"https://windrun.io/players/345469173
2511 rating on Windrun, but I mainly play for fun combos, not winning every AD game. I promise to play for the win in the tournament though."
TheFoxInTheBox,50,FJFJFJJ,https://www.dotabuff.com/players/136477138,2490,5,5,5,5,5,i loooooooooooooooooooooooooooooove ad!!
Icicle,32,Sub03,https://www.dotabuff.com/players/245141321,2392,1,2,3,5,5,"Have no experience playing in house leagues. Have 5 stacked captains mode in the past with some friends for fun. Only recently started playing ability draft, but loves playing support and drafting stuns to lock the enemy team down forever."
Space Chicken,1,LegitGamer07,https://www.dotabuff.com/players/215227601,2326,3,5,2,4,1,availability may change depends on my job
Dingus,38,mr. world wide,https://www.dotabuff.com/players/94560711,2222,3,1,3,2,3,picture that with a kodak
