name,draft_mmr,statement,dotabuff,Role: Position 1,Role: Position 2,Role: Position 3,Role: Position 4,Role: Position 5,windrun_link,windrun_mmr
7SiNs^,0,"4k MMR/ top 1k WR US.  I streamed my climb to getting windrun ranked at twitch.tv/7_sins. 

I ran captains mode inhouse games with my top10 USE guild Scubaporium for many (4) years. I handled egos/nonsense for that entire time. 

I am climbing Windrun ranks fast, with my eyes on top 500 before July 1.
Looking forward to playing! I play all roles in my rank. When I stack with immortals I don't play 1/2",https://www.dotabuff.com/players/74497396,4,4,5,5,4,https://windrun.io/players/74497396,2579
cummy,0,"https://windrun.io/players/393197104  . 

mainly play pos4 but am also good with 5 & 1. ",https://www.dotabuff.com/players/393197104,5,2,2,5,5,https://windrun.io/players/393197104,3186
Death Omen,0,Lets goooo,https://www.dotabuff.com/players/110576918,5,3,4,5,5,https://windrun.io/players/110576918,2818
Elcoco,0,"Stopped playing ranked after reaching immortal. 3150 rating on windrun. 

https://www.dotabuff.com/players/381775877
https://www.dotabuff.com/players/874259461",https://www.dotabuff.com/players/381775877,3,2,5,4,3,https://windrun.io/players/381775877,3156
Fraggle,0,,https://www.dotabuff.com/players/88105725,5,3,5,5,5,https://windrun.io/players/88105725,2680
grey poupon,0,"https://www.dotabuff.com/players/26088272
Immortal with rating around 5k something, haven't recalibrated ",https://www.dotabuff.com/players/26088272,3,4,4,5,5,https://windrun.io/players/26088272,2916
JIVEE,0,"AD party que only gamer. Mechanics nerd that will explain the math of Dota unprompted.
https://www.windrun.io/players/105958764",https://www.dotabuff.com/players/105958764,4,3,3,4,4,https://windrun.io/players/105958764,2993
Meenos,0,"https://windrun.io/players/345469173
2511 rating on Windrun, but I mainly play for fun combos, not winning every AD game. I promise to play for the win in the tournament though.",https://www.dotabuff.com/players/345469173,3,3,3,3,3,https://windrun.io/players/345469173,2511
Regular Cheese Guy,0,https://www.dotabuff.com/players/111098657,https://www.dotabuff.com/players/111098657,3,4,5,5,5,https://windrun.io/players/111098657,3219
Sanemaniac,0,"I prefer to play position 4/5.   I play AD 99% of the time if I'm playing DOTA, so I know the draft and combo's well.",https://www.dotabuff.com/players/393688663,2,2,1,4,5,https://windrun.io/players/393688663,2704
Sockstrangler,0,"i generally play core in AD, but im happy to play support. no other leagues or accounts. ",https://www.dotabuff.com/players/305363733,4,3,4,4,4,https://windrun.io/players/305363733,3023
Sub03,0,"Have no experience playing in house leagues. Have 5 stacked captains mode in the past with some friends for fun. Only recently started playing ability draft, but loves playing support and drafting stuns to lock the enemy team down forever.",https://www.dotabuff.com/players/245141321,1,2,3,5,5,https://windrun.io/players/245141321,2392
Newbycakes,3965,,https://www.dotabuff.com/players/24521769,5,2,4,3,3,https://windrun.io/players/24521769,2608
toolugg,4150,"Relatively new AD player with rd2l experience. 4.5k mmr, 2.2k windrun.io mmr at time of submission. Extremely comfortable on positions 3-5, can mid if necessary, and on 1 I play in a fashion that reminds one of a freshly birthed deer that still can't really walk. Looking for chill vibes and fun times.",https://www.dotabuff.com/players/164740579,1,3,5,5,5,https://windrun.io/players/164740579,2623
B.O.D.M.A.S,4158,Used to be an AD/Turbo only player. Time to get back to that.,https://www.dotabuff.com/players/105723705,3,1,2,4,5,https://windrun.io/players/105723705,2007
mr. world wide,4503,picture that with a kodak,https://www.dotabuff.com/players/94560711,3,1,3,2,3,https://windrun.io/players/94560711,2222
Verve,4520,"https://windrun.io/players/86828968
mmr: uncalibrated since forever but my solo ranked a year ago was ~divine 5 lobbies so make of that what you will

i play any role in AD according to what I drafted",https://www.dotabuff.com/players/86828968,4,4,4,4,4,https://windrun.io/players/86828968,3384
FriscyDriscy,4620,No other leagues or accounts. I only play AD and I only support.,https://www.dotabuff.com/players/192412922,1,1,1,5,5,https://windrun.io/players/192412922,3477
hanmingzyy,4620,I can pub together with some notice,https://www.dotabuff.com/players/74883563,3,3,3,3,3,https://windrun.io/players/74883563,2995
MAPPO,4067,,https://www.dotabuff.com/players/123919855,1,1,1,1,1,https://windrun.io/players/123919855,2533
Cam,4658,,https://www.dotabuff.com/players/178434754,1,1,1,1,1,https://windrun.io/players/178434754,1803
