Discord ID,This Season Cost,Last Season Rating,NEW Internal Rating,Dotabuff Link,Raw Windrun Rating,MMR Estimate,AD Games Last Year,Ranked Games Last Year,Rating Explanation
Poof,333,3705,3551,https://www.dotabuff.com/players/320587966,3679,7153,570,384,"63% windrun (3679) + 37% ranked-eqv (3331)  [570 AD/yr, 60% AD share, +1% lifetime]"
FriscyDriscy,250,3477,3497,https://www.dotabuff.com/players/192412922,3526,4860,615,2,"96% windrun (3526) + 4% ranked-eqv (2872)  [615 AD/yr, 100% AD share, +15% lifetime]"
Jynx,326,3464,3529,https://www.dotabuff.com/players/372541122,3334,7522,381,416,"47% windrun (3334) + 53% ranked-eqv (3700)  [381 AD/yr, 48% AD share]"
Verve,230,3384,3326,https://www.dotabuff.com/players/86828968,3372,4860,542,10,"91% windrun (3372) + 9% ranked-eqv (2872)  [542 AD/yr, 98% AD share, +14% lifetime]"
Dirj,185,3222,3023,https://www.dotabuff.com/players/98580597,3185,4081,331,124,"65% windrun (3185) + 35% ranked-eqv (2716)  [331 AD/yr, 73% AD share, +15% lifetime]"
Regular Cheese Guy,175,3219,3349,https://www.dotabuff.com/players/111098657,3338,7487,423,59,"81% windrun (3338) + 19% ranked-eqv (3397)  [423 AD/yr, 88% AD share, +15% lifetime]"
cummy,155,3186,3066,https://www.dotabuff.com/players/393197104,3086,5420,635,38,"81% windrun (3086) + 19% ranked-eqv (2984)  [635 AD/yr, 94% AD share, +1% lifetime]"
Vanity,250,3177,3309,https://www.dotabuff.com/players/308352874,3159,7355,267,402,"29% windrun (3159) + 71% ranked-eqv (3371)  [267 AD/yr, 40% AD share]"
Elcoco,196,3156,3134,https://www.dotabuff.com/players/381775877,3159,5420,578,23,"85% windrun (3159) + 15% ranked-eqv (2984)  [578 AD/yr, 96% AD share, +8% lifetime]"
MGHappyhobo,230,3059,3196,https://www.dotabuff.com/players/260316741,3116,6944,314,51,"54% windrun (3116) + 46% ranked-eqv (3289)  [314 AD/yr, 86% AD share]"
Sockstrangler,120,3023,3015,https://www.dotabuff.com/players/305363733,3015,4860,1196,30,"100% windrun (3015) + 0% ranked-eqv (2872)  [1196 AD/yr, 98% AD share, +7% lifetime]"
C0re,112,3009,2960,https://www.dotabuff.com/players/91095810,2932,5420,235,44,"47% windrun (2932) + 53% ranked-eqv (2984)  [235 AD/yr, 84% AD share, +4% lifetime]"
hanmingzyy,96,2995,3003,https://www.dotabuff.com/players/74883563,3055,4860,413,26,"72% windrun (3055) + 28% ranked-eqv (2872)  [413 AD/yr, 94% AD share, +3% lifetime]"
JIVEE,128,2993,3021,https://www.dotabuff.com/players/105958764,3022,4860,686,5,"99% windrun (3022) + 1% ranked-eqv (2872)  [686 AD/yr, 99% AD share, +15% lifetime]"
grey poupon,172,2916,3079,https://www.dotabuff.com/players/26088272,3026,6997,557,85,"81% windrun (3026) + 19% ranked-eqv (3299)  [557 AD/yr, 87% AD share, +8% lifetime]"
[ ] created,95,2912,2855,https://www.dotabuff.com/players/129224193,2867,4389,500,0,"86% windrun (2867) + 14% ranked-eqv (2778)  [500 AD/yr, 100% AD share, +11% lifetime]"
golden,134,2909,2878,https://www.dotabuff.com/players/486739727,2878,4700,1683,69,"100% windrun (2878) + 0% ranked-eqv (2840)  [1683 AD/yr, 96% AD share, +15% lifetime]"
BananaBread,95,2900,2984,https://www.dotabuff.com/players/488519272,2284,5420,71,296,"0% windrun (2284) + 100% ranked-eqv (2984)  [71 AD/yr, 19% AD share]"
Droads18,136,2900,3337,https://www.dotabuff.com/players/100748539,2089,7187,33,186,"0% windrun (2089) + 100% ranked-eqv (3337)  [33 AD/yr, 15% AD share, +1% lifetime]"
Abra,196,2900,3278,https://www.dotabuff.com/players/193795851,2807,6888,165,265,"0% windrun (2807) + 100% ranked-eqv (3278)  [165 AD/yr, 38% AD share]"
Ratman,107,2876,2913,https://www.dotabuff.com/players/171871486,2864,6766,744,54,"87% windrun (2864) + 13% ranked-eqv (3253)  [744 AD/yr, 93% AD share, +3% lifetime]"
Death Omen,133,2818,2903,https://www.dotabuff.com/players/110576918,2903,3927,1106,16,"100% windrun (2903) + 0% ranked-eqv (2685)  [1106 AD/yr, 99% AD share, +15% lifetime]"
[RD] ruN,70,2719,2806,https://www.dotabuff.com/players/95813278,2784,4860,674,254,"75% windrun (2784) + 25% ranked-eqv (2872)  [674 AD/yr, 73% AD share, +2% lifetime]"
Sanemaniac,23,2704,2575,https://www.dotabuff.com/players/393688663,2576,3311,722,2,"88% windrun (2576) + 12% ranked-eqv (2562)  [722 AD/yr, 100% AD share, +2% lifetime]"
Fraggle,33,2680,2769,https://www.dotabuff.com/players/88105725,2769,3927,860,32,"100% windrun (2769) + 0% ranked-eqv (2685)  [860 AD/yr, 96% AD share, +13% lifetime]"
ExO,94,2680,2775,https://www.dotabuff.com/players/45626568,2741,5020,400,66,"79% windrun (2741) + 21% ranked-eqv (2904)  [400 AD/yr, 86% AD share, +15% lifetime]"
Toy Story 2 was OK,59,2653,2675,https://www.dotabuff.com/players/179913789,2687,3619,708,330,"81% windrun (2687) + 19% ranked-eqv (2624)  [708 AD/yr, 68% AD share, +8% lifetime]"
B.O.D.M.A.S,21,2650,2716,https://www.dotabuff.com/players/105723705,1984,4081,53,106,"0% windrun (1984) + 100% ranked-eqv (2716)  [53 AD/yr, 33% AD share, +4% lifetime]"
