name,rank,draft_mmr,mmr_screenshot,statement,is_vouched,activity_check,dotabuff,opendota,join_timestamp,Role: Position 1,Role: Position 2,Role: Position 3,Role: Position 4,Role: Position 5,Role: In Game Drafter,Role: Team Organizer ,
7SiNs^,0,0,https://imgur.com/a/Qj03gLp,"4k MMR/ top 1k WR US.  I streamed my climb to getting windrun ranked at twitch.tv/7_sins. 

I ran captains mode inhouse games with my top10 USE guild Scubaporium for many (4) years. I handled egos/nonsense for that entire time. 

I am climbing Windrun ranks fast, with my eyes on top 500 before July 1.
Looking forward to playing! I play all roles in my rank. When I stack with immortals I don't play 1/2",FALSE,FALSE,https://www.dotabuff.com/players/74497396,https://www.opendota.com/players/74497396,03/28/2026 18:07:24,4,4,5,5,4,2,4,
cummy,0,0,https://www.google.com/,"https://windrun.io/players/393197104  . 

mainly play pos4 but am also good with 5 & 1. ",FALSE,FALSE,https://www.dotabuff.com/players/393197104,https://www.opendota.com/players/393197104,04/08/2026 17:37:06,5,2,2,5,5,4,2,
Death Omen,0,0,https://windrun.io/players/110576918,Lets goooo,FALSE,FALSE,https://www.dotabuff.com/players/110576918,https://www.opendota.com/players/110576918,04/13/2026 16:53:08,5,3,4,5,5,5,4,
Elcoco,0,0,https://imgur.com/a/K33iX2e,"Stopped playing ranked after reaching immortal. 3150 rating on windrun. 

https://www.dotabuff.com/players/381775877
https://www.dotabuff.com/players/874259461",FALSE,FALSE,https://www.dotabuff.com/players/381775877,https://www.opendota.com/players/381775877,04/11/2026 7:04:54,3,2,5,4,3,3,3,
Fraggle,0,0,https://imgur.com/a/4KmwpLA,,FALSE,FALSE,https://www.dotabuff.com/players/88105725,https://www.opendota.com/players/88105725,03/27/2026 23:22:41,5,3,5,5,5,4,1,
grey poupon,0,0,https://ibb.co/Q7bNSZWJ,"https://www.dotabuff.com/players/26088272
Immortal with rating around 5k something, haven't recalibrated ",FALSE,FALSE,https://www.dotabuff.com/players/26088272,https://www.opendota.com/players/26088272,04/13/2026 21:37:31,3,4,4,5,5,4,2,
JIVEE,72,0,https://imgur.com/a/fU26rfu,"AD party que only gamer. Mechanics nerd that will explain the math of Dota unprompted.
https://www.windrun.io/players/105958764",TRUE,FALSE,https://www.dotabuff.com/players/105958764,https://www.opendota.com/players/105958764,03/30/2026 7:01:56,4,3,3,4,4,5,2,
Meenos,0,0,https://imgur.com/a/CrJjkJD,"https://windrun.io/players/345469173
2511 rating on Windrun, but I mainly play for fun combos, not winning every AD game. I promise to play for the win in the tournament though.",FALSE,FALSE,https://www.dotabuff.com/players/345469173,https://www.opendota.com/players/345469173,04/15/2026 4:27:35,3,3,3,3,3,3,3,
Regular Cheese Guy,0,0,https://www.dotabuff.com/players/111098657,https://www.dotabuff.com/players/111098657,FALSE,FALSE,https://www.dotabuff.com/players/111098657,https://www.opendota.com/players/111098657,04/07/2026 2:31:19,3,4,5,5,5,5,1,
Sanemaniac,0,0,https://imgur.com/a/tmb41DL,"I prefer to play position 4/5.   I play AD 99% of the time if I'm playing DOTA, so I know the draft and combo's well.",FALSE,FALSE,https://www.dotabuff.com/players/393688663,https://www.opendota.com/players/393688663,04/13/2026 17:44:22,2,2,1,4,5,1,1,
