team,placement_rank,placement,korn,avg_internal_rating,lo_internal_rating,hi_internal_rating,avg_mmr,lo_mmr,hi_mmr,avg_ad_last_year,avg_ad_lifetime,sum_ad_lifetime,rs_games,rs_wins,rs_win_pct
loves Muffins,1,winner,528,3036,2871,3208,5515,4700,6997,723,2204,11018,22,13,59.1
redground,2,finalist,390,3009,2636,3441,5405,3619,7852,627,982,4910,21,13,61.9
Dingus,3,SF elim,368,3090,2666,3700,5570,3927,9135,462,1631,8153,22,14,63.6
Yokozuna Hoshoryu,3,SF elim,424,3047,2708,3339,5591,3927,7487,535,2509,12544,22,9,40.9
TheFoxInTheBox,5,QF elim,438,3042,2652,3598,4336,2695,5340,716,1708,8539,19,14,73.7
Sofaking,5,QF elim,600,2895,2348,3576,4525,2233,7522,782,1374,6871,21,9,42.9
Space Chicken,5,QF elim,408,2929,2418,3461,5795,4235,6944,822,3510,17548,18,8,44.4
Rainmaker,5,QF elim,524,3047,2606,3589,5812,3927,7335,383,682,3408,17,7,41.2
Icicle,9,no playoffs,524,2981,2380,3718,5125,2387,7153,227,450,2251,16,5,31.2
Bonedini,9,no playoffs,506,2881,2668,3151,5305,5020,6000,621,3722,18611,15,5,33.3

